ECONOMY,YEAR,US Dollars at current prices and current exchange rates in millions,US Dollars at current prices and current exchange rates per capita,Percentage of total world,Percentage of Gross Domestic Product
          Russian Federation,1996,8144.7,54.86236365,0.204341717,2.07942913
          Russian Federation,1997,13611.9,91.88582901,0.296660213,3.364973706
          Russian Federation,1998,12911.9,87.39065103,0.224063519,4.770349538
          Russian Federation,1999,18302.7,124.2657816,0.256429439,9.352278428
          Russian Federation,2000,32204,219.4368006,0.432267152,12.41258717
          Russian Federation,2001,52919,362.0578085,0.707701668,17.2770207
          Russian Federation,2002,70884,487.109503,0.944966622,20.53851834
          Russian Federation,2003,96729,667.6469276,1.030399869,22.47695593
          Russian Federation,2004,122295,847.4641927,1.101690885,20.69499641
          Russian Federation,2005,180228,1252.948011,1.558660239,23.58955887
          Russian Federation,2006,265873,1852.643653,1.859198591,26.85770175
          Russian Federation,2007,491052,3426.87184,2.743142816,37.78184911
          Russian Federation,2008,215755,1507.057335,1.396356375,12.99065251
          Russian Federation,2009,378837,2648.023217,2.099865904,31.00166749
          Russian Federation,2010,490560,3431.493426,2.464300683,33.14990065
          Russian Federation,2011,457474,3202.801991,2.238328367,24.84761191
          Rwanda,1980,0,0,0,0
          Rwanda,1981,0,0,0,0
          Rwanda,1982,0,0,0,0
          Rwanda,1983,0,0,0,0
          Rwanda,1984,0,0,0,0
          Rwanda,1985,0,0,0,0
          Rwanda,1986,0,0,0,0
          Rwanda,1987,0,0,0,0
          Rwanda,1988,0,0,0,0
          Rwanda,1989,0,0,0,0
          Rwanda,1990,32.669,4.595094646,0.001569759,1.269278448
          Rwanda,1991,37.249,5.421039028,0.001588811,1.944215274
          Rwanda,1992,42.749,6.624991012,0.001762634,2.11220095
          Rwanda,1993,48.589,8.119210307,0.001862539,2.479029244
          Rwanda,1994,48.59,8.602579251,0.001703833,4.026784664
          Rwanda,1995,50.59,9.082249382,0.00147146,3.890836457
          Rwanda,1996,52.81,9.099163828,0.001324946,3.752819907
          Rwanda,1997,55.4,8.796816251,0.001207398,2.926555151
          Rwanda,1998,62.5,9.000425684,0.001084579,3.071235321
          Rwanda,1999,59,7.780704407,0.000826618,3.070859991
          Rwanda,2000,55.2,6.816208351,0.000740937,3.115831369
          Rwanda,2001,57,6.740004219,0.000762278,3.403624904
          Rwanda,2002,57,6.5544529,0.000759877,3.397854984
          Rwanda,2003,62,6.999434062,0.000660451,3.35832414
          Rwanda,2004,69,7.658450851,0.000621585,3.303179518
          Rwanda,2005,77,8.367994399,0.000665917,2.983159041
          Rwanda,2006,103.23,10.93375288,0.000721868,3.318010335
          Rwanda,2007,170.37,17.54486959,0.000951731,4.554054881
          Rwanda,2008,273.72,27.36080396,0.001771503,5.808606685
          Rwanda,2009,392.39,38.0544598,0.002174989,7.457106828
          Rwanda,2010,434.72,40.91865544,0.002183792,7.686815129
          Rwanda,2011,583,53.27631032,0.002852502,9.307295029
          Saint Helena,1980,..,..,..,..
          Saint Helena,1981,..,..,..,..
          Saint Helena,1982,..,..,..,..
          Saint Helena,1983,..,..,..,..
          Saint Helena,1984,..,..,..,..
          Saint Helena,1985,..,..,..,..
          Saint Helena,1986,..,..,..,..
          Saint Helena,1987,..,..,..,..
          Saint Helena,1988,..,..,..,..
          Saint Helena,1989,..,..,..,..
          Saint Helena,1990,..,..,..,..
          Saint Helena,1991,..,..,..,..
          Saint Helena,1992,..,..,..,..
          Saint Helena,1993,..,..,..,..
          Saint Helena,1994,..,..,..,..
          Saint Helena,1995,..,..,..,..
          Saint Helena,1996,..,..,..,..
          Saint Helena,1997,..,..,..,..
          Saint Helena,1998,..,..,..,..
          Saint Helena,1999,..,..,..,..
          Saint Helena,2000,..,..,..,..
          Saint Helena,2001,..,..,..,..
          Saint Helena,2002,..,..,..,..
          Saint Helena,2003,..,..,..,..
          Saint Helena,2004,..,..,..,..
          Saint Helena,2005,..,..,..,..
          Saint Helena,2006,..,..,..,..
          Saint Helena,2007,..,..,..,..
          Saint Helena,2008,..,..,..,..
          Saint Helena,2009,..,..,..,..
          Saint Helena,2010,..,..,..,..
          Saint Helena,2011,..,..,..,..
          Saint Kitts and Nevis,1980,1,23.16208829,0.000143071,2.08913649
          Saint Kitts and Nevis,1981,1.9,44.23542559,0.000253614,3.358428805
          Saint Kitts and Nevis,1982,4.1,95.91540729,0.000522956,6.843048773
          Saint Kitts and Nevis,1983,17.6,413.7477079,0.00210403,29.48256608
          Saint Kitts and Nevis,1984,23.6,557.9460022,0.002725508,33.70180356
          Saint Kitts and Nevis,1985,31.6,752.1123408,0.003199683,40.50897351
          Saint Kitts and Nevis,1986,40.8,979.0276911,0.003590562,43.34107094
          Saint Kitts and Nevis,1987,57.45,1391.175901,0.004296553,53.13067306
          Saint Kitts and Nevis,1988,70.58,1723.354902,0.004617653,55.72431136
          Saint Kitts and Nevis,1989,111.38,2733.586943,0.006060113,77.8115297
          Saint Kitts and Nevis,1990,160.16,3932.140139,0.007695756,100.6030151
          Saint Kitts and Nevis,1991,181.608,4435.846706,0.007746271,110.3776337
          Saint Kitts and Nevis,1992,194.138,4695.1075,0.00800473,106.7778774
          Saint Kitts and Nevis,1993,207.897,4961.860665,0.007969219,104.818102
          Saint Kitts and Nevis,1994,223.245,5251.464327,0.007828201,100.6817498
          Saint Kitts and Nevis,1995,243.716,5651.909742,0.00708872,105.9822513
          Saint Kitts and Nevis,1996,278.89,6379.8783,0.006997049,113.4946569
          Saint Kitts and Nevis,1997,298.56,6739.199133,0.006506871,108.3221801
          Saint Kitts and Nevis,1998,330.486,7362.457672,0.005735009,115.074695
          Saint Kitts and Nevis,1999,388.223,8536.313463,0.005439187,127.3326166
          Saint Kitts and Nevis,2000,484.438,10512.29304,0.006502504,147.1511695
          Saint Kitts and Nevis,2001,572.669,12264.03255,0.007658474,167.2496512
          Saint Kitts and Nevis,2002,652.44,13791.61646,0.008697788,185.897996
          Saint Kitts and Nevis,2003,728.052,15192.12069,0.00775553,200.9569102
          Saint Kitts and Nevis,2004,783.824,16147.00369,0.007061055,196.1594246
          Saint Kitts and Nevis,2005,876.818,17831.28953,0.007582958,199.8605861
          Saint Kitts and Nevis,2006,987.234,19819.59808,0.006903537,202.6188333
          Saint Kitts and Nevis,2007,1121.718,22232.04836,0.006266205,220.2710333
          Saint Kitts and Nevis,2008,1299.624,25431.95961,0.008411106,227.8605947
          Saint Kitts and Nevis,2009,1430.375,27639.02844,0.007928465,262.4862368
          Saint Kitts and Nevis,2010,1550.744,29593.22163,0.007790076,282.0069778
          Saint Kitts and Nevis,2011,1692.743,31907.8434,0.008282251,289.6511567
          Saint Lucia,1980,93.5,794.4532717,0.01337718,69.01500861
          Saint Lucia,1981,131.7,1103.597375,0.017579476,84.89268747
          Saint Lucia,1982,158.2,1308.551908,0.020178443,94.29347226
          Saint Lucia,1983,168.2,1373.47607,0.020107833,92.47780402
          Saint Lucia,1984,180.2,1451.212834,0.020810869,89.8338257
          Saint Lucia,1985,197.2,1563.639824,0.019967645,88.468696
          Saint Lucia,1986,211.72,1649.731954,0.0186322,78.33637099
          Saint Lucia,1987,226.72,1733.651435,0.016955866,76.615685
          Saint Lucia,1988,243.16,1823.950793,0.015908592,72.10833846
          Saint Lucia,1989,269.79,1987.008109,0.014679097,70.67361987
          Saint Lucia,1990,315.69,2286.912679,0.015169038,75.86810624
          Saint Lucia,1991,375.1,2678.214429,0.015999439,83.77477418
          Saint Lucia,1992,416.041,2932.695629,0.017154271,83.64003038
          Saint Lucia,1993,450.204,3136.195498,0.01725746,90.46161403
          Saint Lucia,1994,482.726,3323.300403,0.016927035,93.09715714
          Saint Lucia,1995,515.478,3505.055519,0.014993185,93.28355228
          Saint Lucia,1996,533.893,3582.645515,0.013394798,90.76211254
          Saint Lucia,1997,581.719,3850.429246,0.012678089,97.10361733
